uid docid  word    tfidf
105565  4912092 feedback        0.230443307312851
105565  4912092 screenshot      0.1582046055395491
105565  4912092 google  0.11908525145422795
105565  4912092 com/questions/6608327/google-style-send-feedback        0.07591602121605208
105565  4912092 com/tools/feedback/intl/en/learnmore    0.07591602121605208
105565  4912092 bug&quot        0.07591602121605208
105565  4912092 com/cdhei       0.07591602121605208
105565  4912092 com/feedback/api        0.07591602121605208
105565  4912092 tool&quot       0.07228915393352509
105565  4912092 nofollow        0.06878670065295439
128112  1086812 avg_fragmentation_in_percent    0.39381437472899883
128112  1086812 re-indexing     0.35618562527100117
128112  1086812 fragmented      0.32872733190660974
128112  12897374        nowplaying      0.3214285746216774
128112  12897374        pbs     0.31199511422141
128112  1086812 rebuilding      0.26881437472899883
128112  1086812 exceeds 0.2569186435933556
128112  1086812 limits  0.2443809305350376
128112  12897374        thenandnow      0.22503679561935616
128112  12897374        output  0.2046280532844682
130888  4716503 ways    0.2910448160482602
130888  4716503 read    0.22492217348629046
130888  4716503 data    0.1924416573482228
130888  4716503 ascii   0.17771979248455133
130888  4716503 differences     0.16304117083396621
130888  4716503 write   0.11557678586679188
130888  4716503 different       0.11304117008890817
130888  4716503 seems   0.1121700978068853
130888  4716503 files   0.11007782862277804
130888  4716503 java    0.1060337365407854
1476749 13212187        nmap    0.4116085255707553
1476749 13212187        machines        0.3029540927492376
1476749 13212187        addresses       0.2995971992103639
1476749 13212187        mac     0.2515717756107012
1476749 13212187        remote  0.24186631313531004
1476749 13112811        date    0.23873503601815205
1476749 13112811        sqldate 0.21968863488573762
1476749 13212187        files   0.1834630504384425
1476749 13212187        list    0.1808565236315141
1476749 13212187        text    0.17349747710522093
1665365 20363719        choice&gt       0.29287994219033825
1665365 20363719        choice  0.1814662085380185
1665365 20363719        choices 0.179581004321468
1665365 20363719        namemap 0.13636364042758942
1665365 20363719        guava   0.13377392127439458
1665365 20363719        map&lt  0.10858665452891374
1665365 20363719        uniqueindex     0.0954701542946865
1665365 20363719        hashmap 0.08396928956051104
1665365 20363719        getname 0.07808923007775972
1665365 20363719        {       0.07152184785224927
266564  4564972 sunrise/sunset  0.27272728085517883
266564  3702675 exception       0.23711515073401082
266564  4564972 bulk    0.18389807323334745
266564  4564972 limitation      0.18325078052702887
266564  3419984 percent 0.17073056347010201
266564  4564972 webservice      0.1695146034089875
266564  4564972 dates   0.1480579529895299
266564  3843017 zcd     0.1465355807486236
266564  3702675 print   0.14405616242732874
266564  4564972 day     0.13566546970636348
288568  7598373 commit  0.4263472609977955
288568  13064613        branches        0.3902212702693085
288568  32838881        5       0.32492773650194656
288568  13064613        remote  0.310970967852675
288568  7598373 transactions    0.2808438795728305
288568  7598373 cancel  0.24943887745822688
288568  7598373 stopped 0.2489608859393979
288568  7598373 queries 0.2260447634999873
288568  13064613        local   0.18743302133385306
288568  13064613        remove  0.17965729915045786
46297   541966  images  0.5497320714527942
46297   623225  display-        0.5250858486207757
46297   623225  ringtones       0.5000000149011612
46297   582185  landscape       0.4863871090415858
46297   716680  content-range   0.4498283474619322
46297   704295  progressbar     0.43450986926384616
46297   623225  settings-       0.41490090410918196
46297   416064  speech  0.4138947367584586
46297   582185  views   0.39534091218721246
46297   2414786 adb     0.38757228341787414
824377  40899868        ├──     0.478610030472159
824377  40899868        │       0.3497406024033126
824377  28569458        hugo    0.30556690937677244
824377  30494050        rds/connection  0.24234731655367847
824377  30494050        database_url    0.20388577665933602
824377  28569458        -l      0.19572983470628774
824377  28569458        404     0.1822382817618063
824377  28569458        curl    0.18152193547250273
824377  30494050        hard-code       0.18072962228408818
824377  40899868        types-metadata  0.17666438680772162
911930  32625513        &amp    0.577244006301454
911930  38654750        newprops        0.32355048801865666
911930  35411423        notification    0.2881177504055214
911930  38654750        componentwillreceiveprops       0.28169895067024886
911930  38654750        props   0.27834032495603367
911930  37435334        myarray 0.24880523184705794
911930  32625513        variable3       0.24677481226593342
911930  9086174 phone   0.2435750118735294
911930  53338922        null    0.24068757868706897
911930  7729652 image   0.23585886175962556
